"gene_id","cluster","in_apcluster","zscore","ap_q"
"AT1G16260","C53",TRUE,TRUE,0
"AT1G16300","C14",TRUE,TRUE,0
"AT1G16340","C26",TRUE,TRUE,0
"AT1G16350","C20",TRUE,TRUE,0
"AT1G16390","C37",TRUE,TRUE,0
"AT1G16400","C31",TRUE,TRUE,0
"AT1G16410","C39",TRUE,TRUE,0
"AT1G16740","C38",TRUE,TRUE,0
"AT1G16790","C35",TRUE,TRUE,0
"AT1G16840","C01",TRUE,TRUE,0
"AT1G16880","C25",TRUE,TRUE,0
"AT1G16890","C01",TRUE,TRUE,0
"AT1G16900","C06",TRUE,TRUE,0
"AT1G16916","C37",TRUE,TRUE,0
"AT1G16920","C19",TRUE,TRUE,0
"AT1G17020","C01",TRUE,TRUE,0
"AT1G17080","C08",TRUE,TRUE,0
"AT1G17100","C19",TRUE,TRUE,0
"AT1G17140","C19",TRUE,TRUE,0
"AT1G17147","C13",TRUE,TRUE,0
"AT1G17170","C01",TRUE,TRUE,0
"AT1G17180","C01",TRUE,TRUE,0
"AT1G17190","C47",TRUE,TRUE,0
"AT1G17200","C20",TRUE,TRUE,0
"AT1G17280","C03",TRUE,TRUE,0
"AT1G17290","C14",TRUE,TRUE,0
"AT1G17340","C03",TRUE,TRUE,0
"AT1G17350","C24",TRUE,TRUE,0
"AT1G17380","C49",TRUE,TRUE,0
"AT1G17420","C48",TRUE,TRUE,0
"AT1G17440","C15",TRUE,TRUE,0
"AT1G17455","C43",TRUE,TRUE,0
"AT1G17490","C54",TRUE,TRUE,0
"AT1G17500","C50",TRUE,TRUE,0
"AT1G17510","C43",TRUE,TRUE,0
"AT1G17560","C24",TRUE,TRUE,0
"AT1G17680","C06",TRUE,TRUE,0
"AT1G17730","C13",TRUE,TRUE,0
"AT1G17745","C07",TRUE,TRUE,0
"AT1G17780","C14",TRUE,TRUE,0
"AT1G17840","C29",TRUE,TRUE,0
"AT1G17860","C17",TRUE,TRUE,0
"AT1G17880","C35",TRUE,TRUE,0
"AT1G17990","C08",TRUE,TRUE,0
"AT1G18020","C17",TRUE,TRUE,0
"AT1G18080","C39",TRUE,TRUE,0
"AT1G18210","C14",TRUE,TRUE,0
"AT1G18250","C39",TRUE,TRUE,0
"AT1G18260","C15",TRUE,TRUE,0
"AT1G18270","C02",TRUE,TRUE,0
"AT1G18300","C03",TRUE,TRUE,0
"AT1G18360","C13",TRUE,TRUE,0
"AT1G18370","C20",TRUE,TRUE,0
"AT1G18400","C22",TRUE,TRUE,0
"AT1G18480","C06",TRUE,TRUE,0
"AT1G18500","C47",TRUE,TRUE,0
"AT1G18540","C39",TRUE,TRUE,0
"AT1G18590","C40",TRUE,TRUE,0
"AT1G18650","C28",TRUE,TRUE,0
"AT1G18800","C38",TRUE,TRUE,0
"AT1G19020","C05",TRUE,TRUE,0
"AT1G19050","C21",TRUE,TRUE,0
"AT1G19080","C38",TRUE,TRUE,0
"AT1G19120","C36",TRUE,TRUE,0
"AT1G19150","C25",TRUE,TRUE,0
"AT1G19180","C44",TRUE,TRUE,0
"AT1G19200","C13",TRUE,TRUE,0
"AT1G19240","C43",TRUE,TRUE,0
"AT1G19270","C15",TRUE,TRUE,0
"AT1G19310","C14",TRUE,TRUE,0
"AT1G19350","C19",TRUE,TRUE,0
"AT1G19380","C20",TRUE,TRUE,0
"AT1G19440","C11",TRUE,TRUE,0
"AT1G19530","C09",TRUE,TRUE,0
"AT1G19570","C48",TRUE,TRUE,0
"AT1G19610","C20",TRUE,TRUE,0
"AT1G19660","C05",TRUE,TRUE,0
"AT1G19670","C44",TRUE,TRUE,0
"AT1G19680","C45",TRUE,TRUE,0
"AT1G19740","C40",TRUE,TRUE,0
"AT1G19960","C54",TRUE,TRUE,0
"AT1G19990","C40",TRUE,TRUE,0
"AT1G20010","C24",TRUE,TRUE,0
"AT1G20100","C14",TRUE,TRUE,0
"AT1G20200","C04",TRUE,TRUE,0
"AT1G20260","C06",TRUE,TRUE,0
